gps_latitude_filtered,gps_longitude_filtered,swift_latitude_filtered,swift_longitude_filtered
35.77112883,-78.67405217,35.77109423,-78.67396549
35.77112033,-78.67405283,35.7710963,-78.67396222
35.771116,-78.6740425,35.77109775,-78.67396109
35.77110383,-78.67404867,35.77109658,-78.67396134
35.7711035,-78.67402417,35.77109642,-78.67396191
35.771115,-78.674021,35.7710957,-78.67396204
35.771126,-78.67400383,35.77109614,-78.67396133
35.77114,-78.6740105,35.77109744,-78.67396023
35.77115617,-78.67404867,35.7711,-78.67395861
35.77115167,-78.67406,35.77110244,-78.67395606
35.77116067,-78.67406183,35.77110487,-78.67395579
35.77117117,-78.6740835,35.77110543,-78.67395525
35.77116383,-78.67408183,35.77110606,-78.67395552
35.7711555,-78.67407717,35.77110553,-78.6739561
35.77116167,-78.67406617,35.77110485,-78.67395527
35.7711395,-78.674073,35.77110184,-78.67395484
35.7711355,-78.67408617,35.77109743,-78.67395542
35.77111433,-78.67407283,35.77109336,-78.67395691
35.7711095,-78.67406417,35.77108862,-78.67395592
35.77109717,-78.674053,35.77108421,-78.67395543
35.77107733,-78.67403067,35.77108227,-78.67395529
35.7710965,-78.674044,35.77108044,-78.67395696
35.77109717,-78.6740465,35.77108079,-78.67396017
35.77110483,-78.67407933,35.77108072,-78.67396014
35.7711185,-78.67406533,35.77107923,-78.67395945
35.77113017,-78.67406017,35.77108617,-78.67396152
35.7711345,-78.67405267,35.77109245,-78.67396174
35.77113233,-78.67402933,35.7710958,-78.67396824
35.7711495,-78.67401583,35.77110342,-78.6739653
35.77116417,-78.67400033,35.77110528,-78.67397774
35.77116617,-78.67400283,35.77110706,-78.67398856
35.77116417,-78.6740025,35.77110513,-78.67399894
35.7711575,-78.67400833,35.771095,-78.6740135
35.771139,-78.6740165,35.77107968,-78.6740325
35.7711145,-78.67401,35.77105906,-78.67405053
35.7710875,-78.67401483,35.77103708,-78.67406857
35.77106283,-78.67402917,35.77101511,-78.674084
35.77103967,-78.67403683,35.77099218,-78.67409887
35.77102133,-78.67404817,35.77097134,-78.67411534
35.77099817,-78.67406483,35.77095025,-78.67412855
35.77097567,-78.67408117,35.77093017,-78.67414632
35.77095617,-78.6741,35.77091026,-78.67416356
35.77092517,-78.67413483,35.77088795,-78.67418251
35.77090167,-78.6741575,35.7708638,-78.67420466
35.770882,-78.67417983,35.77084173,-78.67422413
35.77086533,-78.67419883,35.77082481,-78.67423629
35.77084567,-78.6742175,35.77080493,-78.67425095
35.77082367,-78.67424183,35.77078192,-78.67427029
