node_id,x_m,y_m,lat,lon
Hunt,0.000000,0.000000,35.76983573,-78.67597902
N1,0.000000,3.391655,35.76986620,-78.67597902
N2,0.363392,5.329742,35.76988361,-78.67597500
N3,1.090175,9.327047,35.76991952,-78.67596695
N4,2.301480,11.507394,35.76993911,-78.67595354
N5,3.512786,13.203219,35.76995434,-78.67594013
N6,4.239569,15.868087,35.76997828,-78.67593208
N7,5.814266,17.806172,35.76999569,-78.67591465
N8,7.752355,19.865387,35.77001419,-78.67589319
N9,8.963660,21.924601,35.77003269,-78.67587978
N10,10.174966,24.347206,35.77005445,-78.67586637
N11,11.870794,26.164159,35.77007077,-78.67584759
N12,13.324360,28.465632,35.77009144,-78.67583150
N13,14.414535,30.040324,35.77010559,-78.67581943
N14,15.504710,31.978406,35.77012300,-78.67580736
N15,17.079407,34.279877,35.77014367,-78.67578992
N16,18.411843,36.096828,35.77016000,-78.67577517
N17,19.744279,38.640559,35.77018285,-78.67576042
N18,21.076715,40.336379,35.77019808,-78.67574567
N19,22.530282,43.001238,35.77022202,-78.67572958
N20,23.499326,45.181577,35.77024161,-78.67571885
N21,24.831762,46.635136,35.77025466,-78.67570409
N22,26.406459,49.057734,35.77027643,-78.67568666
N23,27.738895,51.480331,35.77029819,-78.67567191
N24,29.071331,53.055019,35.77031233,-78.67565716
N25,30.524898,55.356485,35.77033301,-78.67564106
N26,31.978464,57.415691,35.77035151,-78.67562497
N27,33.189770,59.232637,35.77036783,-78.67561156
N28,34.037684,62.018621,35.77039286,-78.67560217
N29,35.612381,63.714436,35.77040809,-78.67558474
N30,36.944817,65.652511,35.77042550,-78.67556998
N31,38.156122,68.317362,35.77044944,-78.67555657
N32,39.609689,70.134306,35.77046576,-78.67554048
N33,41.184386,71.708991,35.77047991,-78.67552305
N34,42.274561,73.525934,35.77049623,-78.67551098
N35,43.849258,76.433042,35.77052234,-78.67549354
N36,44.576041,78.249985,35.77053867,-78.67548549
N37,46.635261,80.914833,35.77056260,-78.67546270
N38,47.604305,82.610645,35.77057784,-78.67545197
N39,49.421263,84.306456,35.77059307,-78.67543185
N40,50.632569,86.486785,35.77061266,-78.67541844
N41,52.086135,88.788243,35.77063333,-78.67540235
N42,53.418571,90.484053,35.77064857,-78.67538759
N43,55.114399,92.664380,35.77066815,-78.67536882
N44,55.114399,92.664380,35.77066815,-78.67536882
N45,55.973786,95.249919,35.77069138,-78.67535930
N46,56.882583,97.128078,35.77070825,-78.67534924
N47,58.215485,99.006237,35.77072512,-78.67533448
N48,60.696641,102.700518,35.77075831,-78.67530701
N49,62.210956,105.305109,35.77078171,-78.67529025
N50,63.601664,107.781921,35.77080395,-78.67527485
N51,64.692326,108.448429,35.77080994,-78.67526278
N52,66.026121,111.360957,35.77083611,-78.67524801
N53,67.177179,112.269675,35.77084427,-78.67523526
Fits,67.881212,114.048367,35.77086025,-78.67522747
N55,69.343041,115.510177,35.77087338,-78.67521128
N56,70.017731,117.871562,35.77089459,-78.67520381
N57,72.041802,120.008053,35.77091378,-78.67518141
N58,72.941388,122.594332,35.77093702,-78.67517145
N59,75.077908,123.943693,35.77094914,-78.67514779
N60,75.640149,125.742842,35.77096530,-78.67514157
N61,77.214427,128.329118,35.77098853,-78.67512414
N62,77.776669,130.465606,35.77100773,-78.67511791
N63,80.025637,132.826987,35.77102894,-78.67509301
N64,81.487466,133.614114,35.77103601,-78.67507683
N65,81.824811,136.650174,35.77106328,-78.67507309
N66,84.748469,138.111980,35.77107641,-78.67504072
N67,85.648056,140.023572,35.77109359,-78.67503076
N68,87.334782,142.160058,35.77111278,-78.67501209
N69,88.234369,144.521435,35.77113399,-78.67500213
N70,89.808646,146.320580,35.77115015,-78.67498470
N71,90.820682,149.356636,35.77117743,-78.67497349
N72,92.394959,150.481100,35.77118753,-78.67495606
N73,93.969236,153.292262,35.77121278,-78.67493863
N74,94.756375,155.541190,35.77123298,-78.67492992
N75,96.555549,156.553208,35.77124207,-78.67491000
N76,97.904930,159.027028,35.77126430,-78.67489506
N77,99.591656,161.275955,35.77128450,-78.67487639
N78,100.266346,163.637328,35.77130571,-78.67486892
N79,101.503278,164.986683,35.77131783,-78.67485522
N80,103.077556,167.235609,35.77133804,-78.67483779
N81,104.876730,169.147195,35.77135521,-78.67481787
N82,105.326523,171.396119,35.77137541,-78.67481289
N83,107.125698,173.532597,35.77139460,-78.67479297
N84,108.250182,175.893966,35.77141582,-78.67478052
N85,109.824459,177.917997,35.77143400,-78.67476309
N86,111.398736,180.279365,35.77145521,-78.67474566
N87,112.523220,181.741164,35.77146834,-78.67473321
N88,113.985049,183.652747,35.77148551,-78.67471703
N89,115.109533,186.014114,35.77150673,-78.67470458
EB1,116.346465,188.150588,35.77152592,-78.67469088
N91,117.920743,189.949724,35.77154208,-78.67467345
N92,119.157675,191.748859,35.77155824,-78.67465976
N93,120.169710,195.009791,35.77158754,-78.67464855
N94,121.743988,196.021804,35.77159663,-78.67463112
N95,122.756023,198.720505,35.77162087,-78.67461992
N96,124.892543,200.519639,35.77163703,-78.67459626
N97,126.129475,202.206326,35.77165218,-78.67458257
N98,128.940685,204.005459,35.77166835,-78.67455145
N99,130.514962,205.242362,35.77167946,-78.67453402
N100,132.876378,206.366820,35.77168956,-78.67450787
N101,135.012897,207.041495,35.77169562,-78.67448422
N102,137.711659,207.716169,35.77170168,-78.67445434
N103,139.960626,208.165952,35.77170572,-78.67442944
N104,142.322043,209.177964,35.77171481,-78.67440329
N105,144.571010,209.290409,35.77171582,-78.67437839
N106,147.382220,210.189975,35.77172390,-78.67434727
N107,149.743636,209.965084,35.77172188,-78.67432112
N108,151.880155,209.740192,35.77171986,-78.67429747
N109,154.354020,208.728181,35.77171077,-78.67427008
N110,159.189301,208.165952,35.77170572,-78.67421655
N111,161.213372,205.804591,35.77168451,-78.67419414
N112,163.912133,205.467254,35.77168148,-78.67416426
N113,165.598859,204.005459,35.77166835,-78.67414558
N114,165.598859,204.005459,35.77166835,-78.67414558
EB2,170.996381,203.218338,35.77166127,-78.67408582
N116,172.093177,199.700629,35.77162967,-78.67407368
N117,173.407308,197.908672,35.77161358,-78.67405913
N118,175.318771,197.072426,35.77160607,-78.67403797
N119,178.185966,195.997251,35.77159641,-78.67400622
N120,179.858496,194.324758,35.77158138,-78.67398771
N121,181.053161,193.130120,35.77157065,-78.67397448
N122,183.681423,191.338162,35.77155455,-78.67394538
N123,184.756621,189.665667,35.77153953,-78.67393348
N124,186.309685,187.037461,35.77151592,-78.67391628
