seq,node_id,lat,lon,x_m,y_m
0,N118_proj,35.77160286,-78.67404888,3.161484,-0.081899
1,N119,35.77159026,-78.67402711,5.571572,-0.234255
2,N120,35.77157381,-78.67401345,7.586045,-1.138831
3,N121,35.77156205,-78.67400370,9.024954,-1.784957
4,N122,35.77154348,-78.67398301,11.703684,-2.553873
5,N123,35.77152770,-78.67397369,13.346467,-3.601502
6,N124,35.77150304,-78.67396003,15.843027,-5.280474
7,N125,35.77148555,-78.67394627,17.927054,-6.278275
8,N126,35.77147003,-78.67393868,19.421162,-7.383126
9,N127,35.77144565,-78.67392675,21.769047,-9.119320
10,N128,35.77142194,-78.67391916,23.745243,-10.998568
11,N129,35.77140371,-78.67391384,25.224997,-12.468920
12,N130,35.77138261,-78.67390993,26.764735,-14.276164
13,N131,35.77136283,-78.67390786,28.086245,-16.047406
14,N132,35.77133577,-78.67390502,29.894627,-18.471211
15,N133,35.77131860,-78.67390663,30.779680,-20.170449
16,N134,35.77130104,-78.67390565,31.887746,-21.783856
17,N135,35.77128243,-78.67390455,33.065366,-23.490487
18,N136,35.77125762,-78.67390962,34.135155,-26.078566
19,N137,35.77123344,-78.67391220,35.358406,-28.487590
20,N138,35.77122020,-78.67391934,35.588772,-30.078823
21,N139,35.77120462,-78.67392453,36.106921,-31.799281
22,N140,35.77118605,-78.67393025,36.759392,-33.828021
23,EB3,35.77116607,-78.67394009,37.179281,-36.186261
